Unique Identifier,Recommendation ID,Total Price
3756-2024/02/15 06:00-1094-2024/02/15 19:10,3,375.38
3756-2024/02/15 06:00-1098-2024/02/15 11:05,3,375.38
3757-2024/02/15 14:10-1094-2024/02/15 19:10,3,375.38
1091-2024/02/29 07:05-3771-2024/02/29 16:50,3,375.38
3765-2024/02/29 13:00-3771-2024/02/29 16:50,3,375.38
3769-2024/02/29 20:25-3771-2024/03/01 16:50,3,375.38
3769-2024/02/29 20:25-3786-2024/03/01 12:20,3,375.38
3757-2024/02/15 14:10-1098-2024/02/16 11:05,10,446.38
1091-2024/02/29 07:05-3774-2024/02/29 21:10,11,454.38
1093-2024/02/29 15:00-3774-2024/02/29 21:10,11,454.38
3765-2024/02/29 13:00-3774-2024/02/29 21:10,11,454.38
1091-2024/02/29 07:05-3786-2024/02/29 12:20,17,504.38
3756-2024/02/15 06:00-3768-2024/02/15 09:45,22,525.38
3757-2024/02/15 14:10-3766-2024/02/16 07:40,22,525.38
3757-2024/02/15 14:10-3768-2024/02/16 09:45,28,575.38
