Price,Taxes,outbound 1 airport departure,outbound 1 airport arrival,outbound 1 time departure,outbound 1 time arrival,outbound 1 flight number,outbound 2 airport departure,outbound 2 airport arrival,outbound 2 time departure,outbound 2 time arrival,outbound 2 flight number,inbound 1 airport departure,inbound 1 airport arrival,inbound 1 time departure,inbound 1 time arrival,inbound 1 flight number,inbound 2 airport departure,inbound 2 airport arrival,inbound 2 time departure,inbound 2 time arrival,inbound 2 flight number
375.38,244.64000000000001,,,,,,,,,,,CPH,AMS,2024/02/15 06:00,2024/02/15 07:25,3756,AMS,MAD,2024/02/15 19:10,2024/02/15 21:50,1094
375.38,244.64000000000001,,,,,,,,,,,CPH,AMS,2024/02/15 06:00,2024/02/15 07:25,3756,AMS,MAD,2024/02/15 11:05,2024/02/15 13:45,1098
375.38,244.64000000000001,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/15 19:10,2024/02/15 21:50,1094
375.38,244.64000000000001,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 16:50,2024/02/29 18:10,3771,,,,,,,,,,
375.38,244.64000000000001,MAD,AMS,2024/02/29 13:00,2024/02/29 15:40,3765,AMS,CPH,2024/02/29 16:50,2024/02/29 18:10,3771,,,,,,,,,,
375.38,244.64000000000001,MAD,AMS,2024/02/29 20:25,2024/02/29 23:00,3769,AMS,CPH,2024/03/01 16:50,2024/03/01 18:10,3771,,,,,,,,,,
375.38,244.64000000000001,MAD,AMS,2024/02/29 20:25,2024/02/29 23:00,3769,AMS,CPH,2024/03/01 12:20,2024/03/01 13:40,3786,,,,,,,,,,
446.38,170.88,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/16 11:05,2024/02/16 13:45,1098
446.38,170.88,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 16:50,2024/02/29 18:10,3771,,,,,,,,,,
446.38,170.88,MAD,AMS,2024/02/29 13:00,2024/02/29 15:40,3765,AMS,CPH,2024/02/29 16:50,2024/02/29 18:10,3771,,,,,,,,,,
446.38,170.88,MAD,AMS,2024/02/29 20:25,2024/02/29 23:00,3769,AMS,CPH,2024/03/01 16:50,2024/03/01 18:10,3771,,,,,,,,,,
446.38,170.88,MAD,AMS,2024/02/29 20:25,2024/02/29 23:00,3769,AMS,CPH,2024/03/01 12:20,2024/03/01 13:40,3786,,,,,,,,,,
454.38,211.14000000000001,,,,,,,,,,,CPH,AMS,2024/02/15 06:00,2024/02/15 07:25,3756,AMS,MAD,2024/02/15 19:10,2024/02/15 21:50,1094
454.38,211.14000000000001,,,,,,,,,,,CPH,AMS,2024/02/15 06:00,2024/02/15 07:25,3756,AMS,MAD,2024/02/15 11:05,2024/02/15 13:45,1098
454.38,211.14000000000001,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/15 19:10,2024/02/15 21:50,1094
454.38,211.14000000000001,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
454.38,211.14000000000001,MAD,AMS,2024/02/29 15:00,2024/02/29 17:40,1093,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
454.38,211.14000000000001,MAD,AMS,2024/02/29 13:00,2024/02/29 15:40,3765,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
504.38,144.14000000000001,,,,,,,,,,,CPH,AMS,2024/02/15 06:00,2024/02/15 07:25,3756,AMS,MAD,2024/02/15 19:10,2024/02/15 21:50,1094
504.38,144.14000000000001,,,,,,,,,,,CPH,AMS,2024/02/15 06:00,2024/02/15 07:25,3756,AMS,MAD,2024/02/15 11:05,2024/02/15 13:45,1098
504.38,144.14000000000001,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/15 19:10,2024/02/15 21:50,1094
504.38,144.14000000000001,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 12:20,2024/02/29 13:40,3786,,,,,,,,,,
525.38,137.38,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/16 11:05,2024/02/16 13:45,1098
525.38,137.38,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
525.38,137.38,MAD,AMS,2024/02/29 15:00,2024/02/29 17:40,1093,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
525.38,137.38,MAD,AMS,2024/02/29 13:00,2024/02/29 15:40,3765,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
525.38,207.76,,,,,,,,,,,CPH,AMS,2024/02/15 06:00,2024/02/15 07:25,3756,AMS,MAD,2024/02/15 09:45,2024/02/15 12:15,3768
525.38,207.76,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/16 07:40,2024/02/16 10:15,3766
525.38,207.76,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 16:50,2024/02/29 18:10,3771,,,,,,,,,,
525.38,207.76,MAD,AMS,2024/02/29 13:00,2024/02/29 15:40,3765,AMS,CPH,2024/02/29 16:50,2024/02/29 18:10,3771,,,,,,,,,,
525.38,207.76,MAD,AMS,2024/02/29 20:25,2024/02/29 23:00,3769,AMS,CPH,2024/03/01 16:50,2024/03/01 18:10,3771,,,,,,,,,,
525.38,207.76,MAD,AMS,2024/02/29 20:25,2024/02/29 23:00,3769,AMS,CPH,2024/03/01 12:20,2024/03/01 13:40,3786,,,,,,,,,,
575.38,70.38,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/16 11:05,2024/02/16 13:45,1098
575.38,70.38,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 12:20,2024/02/29 13:40,3786,,,,,,,,,,
575.38,170.88,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/16 09:45,2024/02/16 12:15,3768
575.38,170.88,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 16:50,2024/02/29 18:10,3771,,,,,,,,,,
575.38,170.88,MAD,AMS,2024/02/29 13:00,2024/02/29 15:40,3765,AMS,CPH,2024/02/29 16:50,2024/02/29 18:10,3771,,,,,,,,,,
575.38,170.88,MAD,AMS,2024/02/29 20:25,2024/02/29 23:00,3769,AMS,CPH,2024/03/01 16:50,2024/03/01 18:10,3771,,,,,,,,,,
575.38,170.88,MAD,AMS,2024/02/29 20:25,2024/02/29 23:00,3769,AMS,CPH,2024/03/01 12:20,2024/03/01 13:40,3786,,,,,,,,,,
603.38,174.26,,,,,,,,,,,CPH,AMS,2024/02/15 06:00,2024/02/15 07:25,3756,AMS,MAD,2024/02/15 09:45,2024/02/15 12:15,3768
603.38,174.26,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/16 07:40,2024/02/16 10:15,3766
603.38,174.26,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
603.38,174.26,MAD,AMS,2024/02/29 15:00,2024/02/29 17:40,1093,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
603.38,174.26,MAD,AMS,2024/02/29 13:00,2024/02/29 15:40,3765,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
654.38,107.26,,,,,,,,,,,CPH,AMS,2024/02/15 06:00,2024/02/15 07:25,3756,AMS,MAD,2024/02/15 09:45,2024/02/15 12:15,3768
654.38,107.26,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/16 07:40,2024/02/16 10:15,3766
654.38,107.26,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 12:20,2024/02/29 13:40,3786,,,,,,,,,,
654.38,137.38,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/16 09:45,2024/02/16 12:15,3768
654.38,137.38,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
654.38,137.38,MAD,AMS,2024/02/29 15:00,2024/02/29 17:40,1093,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
654.38,137.38,MAD,AMS,2024/02/29 13:00,2024/02/29 15:40,3765,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
689.38,378.64,,,,,,,,,,,CPH,AMS,2024/02/15 06:00,2024/02/15 07:25,3756,AMS,MAD,2024/02/15 19:10,2024/02/15 21:50,1094
689.38,378.64,,,,,,,,,,,CPH,AMS,2024/02/15 06:00,2024/02/15 07:25,3756,AMS,MAD,2024/02/15 11:05,2024/02/15 13:45,1098
689.38,378.64,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/15 19:10,2024/02/15 21:50,1094
689.38,378.64,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 16:50,2024/02/29 18:10,3771,,,,,,,,,,
689.38,378.64,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
689.38,378.64,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 12:20,2024/02/29 13:40,3786,,,,,,,,,,
689.38,378.64,MAD,AMS,2024/02/29 15:00,2024/02/29 17:40,1093,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
689.38,378.64,MAD,AMS,2024/02/29 13:00,2024/02/29 15:40,3765,AMS,CPH,2024/02/29 16:50,2024/02/29 18:10,3771,,,,,,,,,,
689.38,378.64,MAD,AMS,2024/02/29 13:00,2024/02/29 15:40,3765,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
689.38,378.64,MAD,AMS,2024/02/29 20:25,2024/02/29 23:00,3769,AMS,CPH,2024/03/01 16:50,2024/03/01 18:10,3771,,,,,,,,,,
689.38,378.64,MAD,AMS,2024/02/29 20:25,2024/02/29 23:00,3769,AMS,CPH,2024/03/01 12:20,2024/03/01 13:40,3786,,,,,,,,,,
704.38,70.38,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/16 09:45,2024/02/16 12:15,3768
704.38,70.38,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 12:20,2024/02/29 13:40,3786,,,,,,,,,,
725.38,378.64,,,,,,,,,,,CPH,AMS,2024/02/15 06:00,2024/02/15 07:25,3756,AMS,MAD,2024/02/15 19:10,2024/02/15 21:50,1094
725.38,378.64,,,,,,,,,,,CPH,AMS,2024/02/15 06:00,2024/02/15 07:25,3756,AMS,MAD,2024/02/15 11:05,2024/02/15 13:45,1098
725.38,378.64,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/15 19:10,2024/02/15 21:50,1094
725.38,378.64,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 16:50,2024/02/29 18:10,3771,,,,,,,,,,
725.38,378.64,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
725.38,378.64,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 12:20,2024/02/29 13:40,3786,,,,,,,,,,
725.38,378.64,MAD,AMS,2024/02/29 15:00,2024/02/29 17:40,1093,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
725.38,378.64,MAD,AMS,2024/02/29 13:00,2024/02/29 15:40,3765,AMS,CPH,2024/02/29 16:50,2024/02/29 18:10,3771,,,,,,,,,,
725.38,378.64,MAD,AMS,2024/02/29 13:00,2024/02/29 15:40,3765,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
725.38,378.64,MAD,AMS,2024/02/29 20:25,2024/02/29 23:00,3769,AMS,CPH,2024/03/01 16:50,2024/03/01 18:10,3771,,,,,,,,,,
725.38,378.64,MAD,AMS,2024/02/29 20:25,2024/02/29 23:00,3769,AMS,CPH,2024/03/01 12:20,2024/03/01 13:40,3786,,,,,,,,,,
760.38,304.88,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/16 11:05,2024/02/16 13:45,1098
760.38,304.88,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 16:50,2024/02/29 18:10,3771,,,,,,,,,,
760.38,304.88,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
760.38,304.88,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 12:20,2024/02/29 13:40,3786,,,,,,,,,,
760.38,304.88,MAD,AMS,2024/02/29 15:00,2024/02/29 17:40,1093,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
760.38,304.88,MAD,AMS,2024/02/29 13:00,2024/02/29 15:40,3765,AMS,CPH,2024/02/29 16:50,2024/02/29 18:10,3771,,,,,,,,,,
760.38,304.88,MAD,AMS,2024/02/29 13:00,2024/02/29 15:40,3765,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
760.38,304.88,MAD,AMS,2024/02/29 20:25,2024/02/29 23:00,3769,AMS,CPH,2024/03/01 16:50,2024/03/01 18:10,3771,,,,,,,,,,
760.38,304.88,MAD,AMS,2024/02/29 20:25,2024/02/29 23:00,3769,AMS,CPH,2024/03/01 12:20,2024/03/01 13:40,3786,,,,,,,,,,
760.38,318.40000000000003,,,,,,,,,,,CPH,AMS,2024/02/15 06:00,2024/02/15 07:25,3756,AMS,MAD,2024/02/15 11:05,2024/02/15 13:45,1098
760.38,318.40000000000003,,,,,,,,,,,CPH,AMS,2024/02/15 06:00,2024/02/15 07:25,3756,AMS,MAD,2024/02/15 09:45,2024/02/15 12:15,3768
760.38,318.40000000000003,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/16 11:05,2024/02/16 13:45,1098
760.38,318.40000000000003,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/16 07:40,2024/02/16 10:15,3766
760.38,318.40000000000003,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/16 09:45,2024/02/16 12:15,3768
760.38,318.40000000000003,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 16:50,2024/02/29 18:10,3771,,,,,,,,,,
760.38,318.40000000000003,MAD,AMS,2024/02/29 13:00,2024/02/29 15:40,3765,AMS,CPH,2024/02/29 16:50,2024/02/29 18:10,3771,,,,,,,,,,
760.38,318.40000000000003,MAD,AMS,2024/02/29 20:25,2024/02/29 23:00,3769,AMS,CPH,2024/03/01 16:50,2024/03/01 18:10,3771,,,,,,,,,,
760.38,318.40000000000003,MAD,AMS,2024/02/29 20:25,2024/02/29 23:00,3769,AMS,CPH,2024/03/01 12:20,2024/03/01 13:40,3786,,,,,,,,,,
796.38,304.88,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/16 11:05,2024/02/16 13:45,1098
796.38,304.88,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 16:50,2024/02/29 18:10,3771,,,,,,,,,,
796.38,304.88,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
796.38,304.88,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 12:20,2024/02/29 13:40,3786,,,,,,,,,,
796.38,304.88,MAD,AMS,2024/02/29 15:00,2024/02/29 17:40,1093,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
796.38,304.88,MAD,AMS,2024/02/29 13:00,2024/02/29 15:40,3765,AMS,CPH,2024/02/29 16:50,2024/02/29 18:10,3771,,,,,,,,,,
796.38,304.88,MAD,AMS,2024/02/29 13:00,2024/02/29 15:40,3765,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
796.38,304.88,MAD,AMS,2024/02/29 20:25,2024/02/29 23:00,3769,AMS,CPH,2024/03/01 16:50,2024/03/01 18:10,3771,,,,,,,,,,
796.38,304.88,MAD,AMS,2024/02/29 20:25,2024/02/29 23:00,3769,AMS,CPH,2024/03/01 12:20,2024/03/01 13:40,3786,,,,,,,,,,
796.38,392.16,,,,,,,,,,,CPH,AMS,2024/02/15 06:00,2024/02/15 07:25,3756,AMS,MAD,2024/02/15 19:10,2024/02/15 21:50,1094
796.38,392.16,,,,,,,,,,,CPH,AMS,2024/02/15 06:00,2024/02/15 07:25,3756,AMS,MAD,2024/02/15 11:05,2024/02/15 13:45,1098
796.38,392.16,,,,,,,,,,,CPH,AMS,2024/02/15 06:00,2024/02/15 07:25,3756,AMS,MAD,2024/02/15 09:45,2024/02/15 12:15,3768
796.38,392.16,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/15 19:10,2024/02/15 21:50,1094
796.38,392.16,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/16 11:05,2024/02/16 13:45,1098
796.38,392.16,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/16 07:40,2024/02/16 10:15,3766
796.38,392.16,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/16 09:45,2024/02/16 12:15,3768
796.38,392.16,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 16:50,2024/02/29 18:10,3771,,,,,,,,,,
796.38,392.16,MAD,AMS,2024/02/29 13:00,2024/02/29 15:40,3765,AMS,CPH,2024/02/29 16:50,2024/02/29 18:10,3771,,,,,,,,,,
796.38,392.16,MAD,AMS,2024/02/29 20:25,2024/02/29 23:00,3769,AMS,CPH,2024/03/01 16:50,2024/03/01 18:10,3771,,,,,,,,,,
796.38,392.16,MAD,AMS,2024/02/29 20:25,2024/02/29 23:00,3769,AMS,CPH,2024/03/01 12:20,2024/03/01 13:40,3786,,,,,,,,,,
838.38,341.76,,,,,,,,,,,CPH,AMS,2024/02/15 06:00,2024/02/15 07:25,3756,AMS,MAD,2024/02/15 09:45,2024/02/15 12:15,3768
838.38,341.76,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/16 07:40,2024/02/16 10:15,3766
838.38,341.76,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 16:50,2024/02/29 18:10,3771,,,,,,,,,,
838.38,341.76,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
838.38,341.76,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 12:20,2024/02/29 13:40,3786,,,,,,,,,,
838.38,341.76,MAD,AMS,2024/02/29 15:00,2024/02/29 17:40,1093,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
838.38,341.76,MAD,AMS,2024/02/29 13:00,2024/02/29 15:40,3765,AMS,CPH,2024/02/29 16:50,2024/02/29 18:10,3771,,,,,,,,,,
838.38,341.76,MAD,AMS,2024/02/29 13:00,2024/02/29 15:40,3765,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
838.38,341.76,MAD,AMS,2024/02/29 20:25,2024/02/29 23:00,3769,AMS,CPH,2024/03/01 16:50,2024/03/01 18:10,3771,,,,,,,,,,
838.38,341.76,MAD,AMS,2024/02/29 20:25,2024/02/29 23:00,3769,AMS,CPH,2024/03/01 12:20,2024/03/01 13:40,3786,,,,,,,,,,
838.38,284.90000000000003,,,,,,,,,,,CPH,AMS,2024/02/15 06:00,2024/02/15 07:25,3756,AMS,MAD,2024/02/15 11:05,2024/02/15 13:45,1098
838.38,284.90000000000003,,,,,,,,,,,CPH,AMS,2024/02/15 06:00,2024/02/15 07:25,3756,AMS,MAD,2024/02/15 09:45,2024/02/15 12:15,3768
838.38,284.90000000000003,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/16 11:05,2024/02/16 13:45,1098
838.38,284.90000000000003,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/16 07:40,2024/02/16 10:15,3766
838.38,284.90000000000003,,,,,,,,,,,CPH,AMS,2024/02/15 14:10,2024/02/15 15:35,3757,AMS,MAD,2024/02/16 09:45,2024/02/16 12:15,3768
838.38,284.90000000000003,MAD,AMS,2024/02/29 07:05,2024/02/29 09:45,1091,AMS,CPH,2024/02/29 21:10,2024/02/29 22:30,3774,,,,,,,,,,
